Season,Race,Circuit,Country,Date,Driver,Driver_ID,Team,Position,Points,Grid,Laps,Status,Total_Points,Average_Position,Best_Position,Locality,Latitude,Longitude,Country.1,Temperature_C,Weather_Description,Wind_Speed_kmh
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Schumacher,michael_schumacher,Ferrari,1,10.0,3,58,Finished,49.0,5.5,1,Melbourne,-37.8497,144.968,Australia,21.9,316.0,15.587096774193547
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Barrichello,barrichello,Ferrari,2,6.0,4,58,Finished,49.0,5.5,1,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Schumacher,ralf_schumacher,Williams,3,4.0,11,58,Finished,15.0,8.333333333333334,3,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Villeneuve,villeneuve,BAR,4,3.0,8,58,Finished,6.0,10.666666666666666,4,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Fisichella,fisichella,Benetton,5,2.0,9,58,Finished,8.0,8.9,2,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Zonta,zonta,BAR,6,1.0,16,58,Finished,6.0,10.666666666666666,4,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Wurz,wurz,Benetton,7,0.0,14,58,Finished,8.0,8.9,2,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Gené,gene,Minardi,8,0.0,18,57,+1 Lap,0.0,13.375,8,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Heidfeld,heidfeld,Prost,9,0.0,15,56,+2 Laps,0.0,15.875,9,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Salo,salo,Sauber,10,0.0,10,58,Disqualified,1.0,11.666666666666666,6,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Button,button,Williams,11,0.0,21,46,Engine,15.0,8.333333333333334,3,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Diniz,diniz,Sauber,12,0.0,19,41,Transmission,1.0,11.666666666666666,6,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Mazzacane,mazzacane,Minardi,13,0.0,22,40,Gearbox,0.0,13.375,8,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Frentzen,frentzen,Jordan,14,0.0,5,39,Hydraulics,9.0,11.4,3,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Trulli,trulli,Jordan,15,0.0,6,35,Engine,9.0,11.4,3,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Alesi,alesi,Prost,16,0.0,17,27,Hydraulics,0.0,15.875,9,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Häkkinen,hakkinen,McLaren,17,0.0,1,18,Engine,42.0,7.2,1,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Verstappen,verstappen,Arrows,18,0.0,13,16,Suspension,0.0,15.75,7,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Coulthard,coulthard,McLaren,19,0.0,2,11,Engine,42.0,7.2,1,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,de la Rosa,rosa,Arrows,20,0.0,12,6,Suspension,0.0,15.75,7,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Irvine,irvine,Jaguar,21,0.0,7,6,Spun off,0.0,13.77777777777778,7,Melbourne,-37.8497,144.968,,,,
2000,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,2000-03-12,Herbert,herbert,Jaguar,22,0.0,20,1,Clutch,0.0,13.77777777777778,7,Melbourne,-37.8497,144.968,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Schumacher,michael_schumacher,Ferrari,1,10.0,3,71,Finished,49.0,5.5,1,São Paulo,-23.7036,-46.6997,Brazil,21.2,136.0,10.0
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Fisichella,fisichella,Benetton,2,6.0,5,71,Finished,8.0,8.9,2,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Frentzen,frentzen,Jordan,3,4.0,7,71,Finished,9.0,11.4,3,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Trulli,trulli,Jordan,4,3.0,12,71,Finished,9.0,11.4,3,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Schumacher,ralf_schumacher,Williams,5,2.0,11,70,+1 Lap,15.0,8.333333333333334,3,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Button,button,Williams,6,1.0,9,70,+1 Lap,15.0,8.333333333333334,3,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Verstappen,verstappen,Arrows,7,0.0,14,70,+1 Lap,0.0,15.75,7,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,de la Rosa,rosa,Arrows,8,0.0,16,70,+1 Lap,0.0,15.75,7,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Zonta,zonta,BAR,9,0.0,8,69,+2 Laps,6.0,10.666666666666666,4,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Mazzacane,mazzacane,Minardi,10,0.0,20,69,+2 Laps,0.0,13.375,8,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Coulthard,coulthard,McLaren,11,0.0,2,71,Disqualified,42.0,7.2,1,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Herbert,herbert,Jaguar,12,0.0,17,51,Gearbox,0.0,13.77777777777778,7,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Gené,gene,Minardi,13,0.0,18,31,Engine,0.0,13.375,8,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Häkkinen,hakkinen,McLaren,14,0.0,1,30,Oil pressure,42.0,7.2,1,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Barrichello,barrichello,Ferrari,15,0.0,4,27,Hydraulics,49.0,5.5,1,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Irvine,irvine,Jaguar,16,0.0,6,20,Spun off,0.0,13.77777777777778,7,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Villeneuve,villeneuve,BAR,17,0.0,10,16,Gearbox,6.0,10.666666666666666,4,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Alesi,alesi,Prost,18,0.0,15,11,Electrical,0.0,15.875,9,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Heidfeld,heidfeld,Prost,19,0.0,19,9,Engine,0.0,15.875,9,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Wurz,wurz,Benetton,20,0.0,13,6,Engine,8.0,8.9,2,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Diniz,diniz,Sauber,21,0.0,0,0,Safety concerns,1.0,11.666666666666666,6,São Paulo,-23.7036,-46.6997,,,,
2000,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,2000-03-26,Salo,salo,Sauber,22,0.0,0,0,Safety concerns,1.0,11.666666666666666,6,São Paulo,-23.7036,-46.6997,,,,
2000,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,2000-04-09,Schumacher,michael_schumacher,Ferrari,1,10.0,2,62,Finished,49.0,5.5,1,Imola,44.3439,11.7167,Italy,21.27317073170732,316.0,15.587096774193547
